Time,Type,Details
1785207033302,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033310,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 94.02) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033340,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033341,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.42) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033351,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.22) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033352,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.19) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033353,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.19) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033354,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033355,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033373,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.23) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033388,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033390,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033413,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033415,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033430,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033433,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033472,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033472,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.38) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033473,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033490,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033492,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.39) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033509,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033510,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033510,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.40) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033511,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033550,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033569,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033570,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.42) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033588,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207033589,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.42) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033630,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033630,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033632,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033654,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033654,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033672,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033689,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033689,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033726,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033727,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207033728,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207033730,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207033731,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
